,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.8924418604651163,0.6349206349206349,1.0,0.8591549295774648,0.8424541651285837,0.8614806842779329
recall,0.9359756097560976,0.6153846153846154,0.5757575757575758,0.8591549295774648,0.7090392669660962,0.8591549295774648
f1-score,0.9136904761904762,0.625,0.7307692307692307,0.8591549295774648,0.7564865689865691,0.8554715042391098
support,328.0,65.0,33.0,0.8591549295774648,426.0,426.0
