,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.9470588235294117,0.8392857142857143,0.9666666666666667,0.9342723004694836,0.9176704014939309,0.932133487197696
recall,0.9817073170731707,0.7230769230769231,0.8787878787878788,0.9342723004694836,0.8611907063126575,0.9342723004694836
f1-score,0.9640718562874252,0.7768595041322314,0.9206349206349206,0.9342723004694836,0.8871887603515257,0.9321417582437157
support,328.0,65.0,33.0,0.9342723004694836,426.0,426.0
