,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.9461077844311377,0.7868852459016393,0.9354838709677419,0.9225352112676056,0.8894923004335064,0.9209902864294723
recall,0.9634146341463414,0.7384615384615385,0.8787878787878788,0.9225352112676056,0.8602213504652529,0.9225352112676056
f1-score,0.9546827794561934,0.7619047619047619,0.90625,0.9225352112676056,0.8742791804536517,0.9215164581817863
support,328.0,65.0,33.0,0.9225352112676056,426.0,426.0
